Title,Course Code,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
High Performance Programming with Multicore and GPUs,ENG EC 527,,,,,,"Considers theory and practice of hardware-aware programming. Key theme is obtaining a significant fraction of potential performance through knowledge of the underlying computing platform and how the platform interacts with programs. Studies architecture of, and programming methods for, contemporary high-performance processors. These include complex processor cores, multicore processors, and graphics processors. Laboratory component includes use and evaluation of programming methods on these processors through applications such as matrix operations and the Fast Fourier Transform. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Cloud Computing,ENG EC 528,ENG EC 327,ENG EC 330UNDERGRADSMUSTHAVETAKENEC327,"PREFERABLYANOTHERSOFTWARECOURSE,EC330 OR EC440,BEF OR ETAKINGTHISCOURSE",,,"Undergraduate Prerequisites: (ENGEC327 & ENGEC330) Undergrads must have taken EC327 or equivalent and preferably another software course, EC330 or EC440, before taking this course. - Graduate Prerequisites: (ENGEC504) Graduate students must have taken a rigorous programming class recentl y, such as EC504 or equivalent (or have major software design experien ce in industry). - Fundamentals of cloud computing covering IaaS platforms, OpenStack, key Big Data platforms, and data center scale systems. Examines influential publications in cloud computing. Culminates in a group project supervised by a mentor from industry or academia. Same as CAS CS 528. Students may not receive credits for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Software Engineering Principles,ENG EC 530,ENG EC 602ENG EC 602,,,,,"Undergraduate Prerequisites: (ENGEC602) ENG EC 602 or equivalent - This class was designed to bring the basic concepts of software engineering together and practice them in real life examples. We will focus on studying different concepts that the students have taken in different classes or were not exposed to that are necessary for their careers. Examples include continuous build and integration, Modular Design, API Design, Rest APIs, Application frameworks, Containers, and Multi-. The class follows a flipped classroom model. Outside of the classroom, the students: study concepts, read assigned papers and tutorials; work on homeworks, which is equivalent to what other classes consider projects. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Full-Stack Software at Scale,ENG EC 531,,,,,,"Prerequisites: ENGEC 327 or ENGEC 602: - Scaling software to many developers, modules, or machines requires a fundamentally different skill-set than writing short prototype code. Large groups of software engineers developing web or mobile applications, financial or healthcare systems, and even multiplayer games must synthesize a wide variety of elements at all layers of the software stack. This course addresses fundamental skills and experience needed for such software development within a modern multi-developer software development infrastructure. Through a variety of intensive programming projects in various languages and group sizes, students will learn about four core elements of software development at scale: design (writing future-oriented code for modularity, extensibility, interoperability), distribution (managing code across multiple processors), optimization (understanding the long-term effects of design and distribution on performance), and security (how all the previous elements influence the security and privacy of the overall system). Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Advanced Discrete Mathematics,ENG EC 533,"ENG EK 103,CAS MA 142",,,,,"Undergraduate Prerequisites: ENGEK103, CAS MA 142 or equivalent - Selected topics in discrete mathematics. Formal systems. Mathematical deduction. Logical concepts. Theorem proving. Sets, relations on sets, operations on sets. Functions, graphs, mathematical structures, morphisms, algebraic structures, semigroups, quotient groups, finite-state machines, their homomorphism, and simulation. Machines as recognizers, regular sets. Kleene theorem. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Discrete Stochastic Models,ENG EC 534,ENG EK 381 OR ENG EK 500,,,,,"Undergraduate Prerequisites: (ENGEK381 OR ENGEK500) - Markov chains, Chapman-Kolmogorov equation. Classification of states, limiting probabilities, Poisson process and its generalization, continuous-time Markov chains, queuing theory, reliability theory. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Introduction to Embedded Systems,ENG EC 535,,,,,,"Prerequisites: Experience in C/C++ programming and Linux, ENGEC 327 or EC 605 or equivalent. ENGEC 413, Computer Organization or equivalent. *Prior C or C++ programming knowledge is a hard requirement. Please discuss with the instructor if you have any questions. 

The growing popularity of modern embedded systems calls for a new generation of electrical and computer engineers who can easily cross the boundary between hardware and software. The course is designed to train such engineers by introducing students to an integrated view of software and hardware in designing embedded computer systems. The lectures will survey a broad array of subjects including system specification languages, embedded processors, memory architecture, communication architecture, real-time operating systems, scheduling, energy efficiency in hardware and software, hardware-software co-design techniques, debugging and verification techniques, and embedded systems security. The concepts will be reinforced with homework and project assignments that involve system design, modeling, and validation. The assignments will involve C/Linux programming, ARM/Linux-based evaluation boards, and optionally other microprocessor or FPGA-based boards. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Computer Communication Networks,ENG EC 541,ENG EC 441,ENG EK 381,,,,"Undergraduate Prerequisites: (ENGEC441 & ENGEK381) - This is a graduate-level course on performance analysis of communication networks. The objective of the course is to introduce popular mathematical models of computer communications and analytical techniques to quantify critical performance issues. The emphasis is on recent developments that apply to modern communication networks. The course also features programming assignments in Python, involving the use of popular data science libraries. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Cyber-Physical Systems,ENG EC 545,ENG EC 311,ENG EC 327,ENG EC 330KNOWLEDGEOFBOOLEANALGEBRA,FINITESTATEMACHINES,,"Undergraduate Prerequisites: (ENGEC311 & ENGEC327 & ENGEC330) Or equivalent knowledge of Boolean algebra and finite state machines. Experience with programming embedded systems (eg EC535) is recommended but not required. - This course introduces students to the principles underlying the design and analysis of cyber-physical systems - computational systems that interact with the physical world. We will study a wide range of applications of such systems ranging from robotics, through medical devices, to smart manufacturing plants. A strong emphasis will be put on building high-assurance systems with real-time and concurrent behaviors. The student will gain both in-depth knowledge and hands-on experience on the specification, modeling, design, and analysis of representative cyber-physical systems. Meets with ENG SE 545. Students may not receive credits for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Introduction to Biomedical Optics,ENG EC 555,ENG BE 403 OR ENG EC 401REQUIRESSENI OR STATUS,,,,,"Undergraduate Prerequisites: (ENGBE403 OR ENGEC401) Requires senior status. - This course surveys the applications of optical science and engineering to a variety of biomedical problems, with emphasis on optical and photonics technologies that enable real, minimally-invasive clinical and laboratory applications. The course teaches only those aspects of the biology itself that are necessary to understand the purpose of the applications. The first weeks introduce the optical properties of tissue, and following lectures cover a range of topics in three general areas: 1) Optical spectroscopy applied to diagnosis of cancer and other tissue pathologies; 2) Photon migration and diffuse optical imaging of subsurface structures in tissue; and 3) new tissue imaging methods, laser-tissue interactions and other applications of light for biomedical research. The format of this course is ""semi-flipped."" There are assigned readings from the required textbook, prior to each class. Half of class time will invoke informal lecture and discussion, to amplify and clarify the readings; and half of the class time will be in the style of a ""flipped"" class, devoted to working, in small groups, on problems and discussing and understanding the connection to the readings. Dual listed as ENG EC 555. Students may not receive credit for both. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
